,greedy,dynamic_programming,branch_and_bound
knapPI_1_1000_10000000_399.csv,50000.0,50000.0,3740.63
knapPI_1_1000_10000000_4.csv,50000.0,50000.0,1.55
knapPI_1_1000_10000000_40.csv,0.0,50000.0,2.51
knapPI_1_1000_10000000_400.csv,0.0,50000.0,1.47
knapPI_1_1000_10000000_401.csv,50000.0,50000.0,3.75
knapPI_1_1000_10000000_402.csv,0.01,50000.0,3.5
knapPI_1_1000_10000000_403.csv,50000.0,50000.0,7.16
knapPI_1_1000_10000000_404.csv,50000.0,50000.0,3.98
knapPI_1_1000_10000000_405.csv,50000.0,50000.0,2.81
knapPI_1_1000_10000000_406.csv,50000.0,50000.0,88.91
knapPI_1_1000_10000000_407.csv,50000.0,50000.0,3.73
knapPI_1_1000_10000000_408.csv,50000.0,50000.0,3.96
knapPI_1_1000_10000000_409.csv,50000.0,50000.0,2.83
knapPI_1_1000_10000000_41.csv,0.0,50000.0,0.49
knapPI_1_1000_10000000_410.csv,50000.0,50000.0,1.49
knapPI_1_1000_10000000_411.csv,50000.0,50000.0,693.3
knapPI_1_1000_10000000_412.csv,50000.0,50000.0,5000.31
knapPI_1_1000_10000000_413.csv,50000.0,50000.0,502.08
knapPI_1_1000_10000000_414.csv,50000.0,50000.0,2.68
knapPI_1_1000_10000000_415.csv,50000.0,50000.0,3.26
knapPI_1_1000_10000000_416.csv,50000.0,50000.0,2.22
knapPI_1_1000_10000000_417.csv,0.0,50000.0,1.48
knapPI_1_1000_10000000_418.csv,50000.0,50000.0,2.62
knapPI_1_1000_10000000_419.csv,50000.0,50000.0,3.14
knapPI_1_1000_10000000_42.csv,50000.0,50000.0,2.52
knapPI_1_1000_10000000_420.csv,50000.0,50000.0,4.09
knapPI_1_1000_10000000_421.csv,50000.0,50000.0,2.78
knapPI_1_1000_10000000_422.csv,50000.0,50000.0,1.52
knapPI_1_1000_10000000_423.csv,50000.0,50000.0,2178.39
knapPI_1_1000_10000000_424.csv,50000.0,50000.0,3.39
knapPI_1_1000_10000000_425.csv,50000.0,50000.0,4.68
knapPI_1_1000_10000000_426.csv,0.0,50000.0,2.64
knapPI_1_1000_10000000_427.csv,0.08,50000.0,1.51
knapPI_1_1000_10000000_428.csv,50000.0,50000.0,2.58
knapPI_1_1000_10000000_429.csv,50000.0,50000.0,19.27
knapPI_1_1000_10000000_43.csv,0.0,50000.0,1.53
knapPI_1_1000_10000000_430.csv,0.0,50000.0,2.53
knapPI_1_1000_10000000_431.csv,50000.0,50000.0,2.55
knapPI_1_1000_10000000_432.csv,0.0,50000.0,0.51
knapPI_1_1000_10000000_433.csv,0.01,50000.0,2.14
knapPI_1_1000_10000000_434.csv,0.01,50000.0,2.37
knapPI_1_1000_10000000_435.csv,0.0,50000.0,1.5
knapPI_1_1000_10000000_436.csv,50000.0,50000.0,4917.85
knapPI_1_1000_10000000_437.csv,50000.0,50000.0,5.65
knapPI_1_1000_10000000_438.csv,50000.0,50000.0,7.97
knapPI_1_1000_10000000_439.csv,50000.0,50000.0,2.5
knapPI_1_1000_10000000_44.csv,50000.0,50000.0,7.25
knapPI_1_1000_10000000_440.csv,0.0,50000.0,2.13
knapPI_1_1000_10000000_441.csv,50000.0,50000.0,3.5
knapPI_1_1000_10000000_442.csv,50000.0,50000.0,2.75
knapPI_1_1000_10000000_443.csv,50000.0,50000.0,17.55
knapPI_1_1000_10000000_444.csv,50000.0,50000.0,3.5
knapPI_1_1000_10000000_445.csv,50000.0,50000.0,3.59
knapPI_1_1000_10000000_446.csv,0.0,50000.0,3.53
knapPI_1_1000_10000000_447.csv,0.0,50000.0,1.15
knapPI_1_1000_10000000_448.csv,50000.0,50000.0,1.55
knapPI_1_1000_10000000_449.csv,50000.0,50000.0,6.27
knapPI_1_1000_10000000_45.csv,50000.0,50000.0,66.77
knapPI_1_1000_10000000_450.csv,50000.0,50000.0,1.49
knapPI_1_1000_10000000_451.csv,50000.0,50000.0,3.77
knapPI_1_1000_10000000_452.csv,50000.0,50000.0,2.97
knapPI_1_1000_10000000_453.csv,50000.0,50000.0,1.14
knapPI_1_1000_10000000_454.csv,50000.0,50000.0,7.48
knapPI_1_1000_10000000_455.csv,50000.0,50000.0,141.18
knapPI_1_1000_10000000_456.csv,0.11,50000.0,2.64
knapPI_1_1000_10000000_457.csv,50000.0,50000.0,2.24
knapPI_1_1000_10000000_458.csv,50000.0,50000.0,1.45
knapPI_1_1000_10000000_459.csv,50000.0,50000.0,8.06
knapPI_1_1000_10000000_46.csv,0.0,50000.0,3.51
knapPI_1_1000_10000000_460.csv,50000.0,50000.0,8.3
knapPI_1_1000_10000000_461.csv,50000.0,50000.0,2.96
knapPI_1_1000_10000000_462.csv,50000.0,50000.0,4.53
knapPI_1_1000_10000000_463.csv,50000.0,50000.0,4.72
knapPI_1_1000_10000000_464.csv,50000.0,50000.0,3.26
knapPI_1_1000_10000000_465.csv,0.0,50000.0,4.56
knapPI_1_1000_10000000_466.csv,50000.0,50000.0,29.97
knapPI_1_1000_10000000_467.csv,50000.0,50000.0,0.95
knapPI_1_1000_10000000_468.csv,0.0,50000.0,2.93
knapPI_1_1000_10000000_469.csv,50000.0,50000.0,1.91
knapPI_1_1000_10000000_47.csv,50000.0,50000.0,0.99
knapPI_1_1000_10000000_470.csv,50000.0,50000.0,2.67
knapPI_1_1000_10000000_471.csv,50000.0,50000.0,2.18
knapPI_1_1000_10000000_472.csv,50000.0,50000.0,0.55
knapPI_1_1000_10000000_473.csv,0.01,50000.0,1.84
knapPI_1_1000_10000000_474.csv,0.0,50000.0,3.14
knapPI_1_1000_10000000_475.csv,50000.0,50000.0,2.65
knapPI_1_1000_10000000_476.csv,50000.0,50000.0,3.7
knapPI_1_1000_10000000_477.csv,50000.0,50000.0,0.47
knapPI_1_1000_10000000_478.csv,50000.0,50000.0,1.6
knapPI_1_1000_10000000_479.csv,50000.0,50000.0,58.12
knapPI_1_1000_10000000_48.csv,50000.0,50000.0,3.54
