,max_depth,learning_rate,n_estimators,min_child_weight,subsample,Seed,VBS_test,SBS_test,Accuracy_test,Score_test,Gap_test,VBS_train,SBS_train,Accuracy_train,Score_train,Gap_train
XGB_depth_3_lr_0.001_estimators_50_childweight_2_subsample_0.9_seed_1,3.0,0.001,50.0,2.0,0.9,1.0,1910.8337724711569,5106.399455325999,0.6775,2943.201875503086,0.6769372920197227,1936.8916563799808,4801.996742251442,0.6639,2964.7716355829866,0.6412417875100864
XGB_depth_3_lr_0.001_estimators_50_childweight_0.5_subsample_0.9_seed_1,3.0,0.001,50.0,0.5,0.9,1.0,1910.8337724711569,5106.399455325999,0.6775,2943.201875503086,0.6769372920197227,1936.8916563799808,4801.996742251442,0.6642,2961.570950623909,0.6423589140597759
XGB_depth_3_lr_0.001_estimators_100_childweight_1_subsample_0.7_seed_1,3.0,0.001,100.0,1.0,0.7,1.0,1910.8337724711569,5106.399455325999,0.6767,2944.338349879259,0.6765816509567739,1936.8916563799808,4801.996742251442,0.6625,2992.776766402791,0.6314672312615549
XGB_depth_3_lr_0.001_estimators_100_childweight_0.5_subsample_0.7_seed_1,3.0,0.001,100.0,0.5,0.7,1.0,1910.8337724711569,5106.399455325999,0.6767,2944.338349879259,0.6765816509567739,1936.8916563799808,4801.996742251442,0.6625,2992.776766402791,0.6314672312615549
XGB_depth_3_lr_0.001_estimators_50_childweight_1_subsample_0.8_seed_1,3.0,0.001,50.0,1.0,0.8,1.0,1910.8337724711569,5106.399455325999,0.677,2945.613887845452,0.6761824922184521,1936.8916563799808,4801.996742251442,0.6629,2963.95851469207,0.6415255889297713
XGB_depth_3_lr_0.001_estimators_100_childweight_2_subsample_0.7_seed_1,3.0,0.001,100.0,2.0,0.7,1.0,1910.8337724711569,5106.399455325999,0.6764,2945.6803729541184,0.676161686791412,1936.8916563799808,4801.996742251442,0.6625,2989.7587562055546,0.6325205993254766
XGB_depth_3_lr_0.001_estimators_50_childweight_2_subsample_0.7_seed_1,3.0,0.001,50.0,2.0,0.7,1.0,1910.8337724711569,5106.399455325999,0.6764,2945.769337268581,0.6761338468646849,1936.8916563799808,4801.996742251442,0.6621,2992.798563665638,0.631459623420937
XGB_depth_3_lr_0.001_estimators_50_childweight_1_subsample_0.7_seed_1,3.0,0.001,50.0,1.0,0.7,1.0,1910.8337724711569,5106.399455325999,0.6764,2946.191765495036,0.6760016548622729,1936.8916563799808,4801.996742251442,0.6622,2989.626286059305,0.6325668350279304
XGB_depth_3_lr_0.001_estimators_50_childweight_0.5_subsample_0.7_seed_1,3.0,0.001,50.0,0.5,0.7,1.0,1910.8337724711569,5106.399455325999,0.6764,2946.191765495036,0.6760016548622729,1936.8916563799808,4801.996742251442,0.6624,2985.6011310881527,0.6339717241508466
XGB_depth_3_lr_0.001_estimators_100_childweight_0.5_subsample_0.9_seed_1,3.0,0.001,100.0,0.5,0.9,1.0,1910.8337724711569,5106.399455325999,0.6775,2953.325551381809,0.6737692532799655,1936.8916563799808,4801.996742251442,0.665,2973.670902992084,0.6381356998999036
XGB_depth_3_lr_0.001_estimators_100_childweight_1_subsample_0.9_seed_1,3.0,0.001,100.0,1.0,0.9,1.0,1910.8337724711569,5106.399455325999,0.6775,2953.325551381809,0.6737692532799655,1936.8916563799808,4801.996742251442,0.665,2973.942806252516,0.6380407982288365
XGB_depth_3_lr_0.001_estimators_100_childweight_2_subsample_0.9_seed_1,3.0,0.001,100.0,2.0,0.9,1.0,1910.8337724711569,5106.399455325999,0.6775,2953.325551381809,0.6737692532799655,1936.8916563799808,4801.996742251442,0.6648,2973.955955990876,0.638036208610667
XGB_depth_2_lr_0.001_estimators_50_childweight_0.5_subsample_0.9_seed_1,2.0,0.001,50.0,0.5,0.9,1.0,1910.8337724711569,5106.399455325999,0.6748,2953.6443949557283,0.6736694763998876,1936.8916563799808,4801.996742251442,0.66,2990.615935193882,0.6322214204253538
XGB_depth_2_lr_0.001_estimators_50_childweight_2_subsample_0.9_seed_1,2.0,0.001,50.0,2.0,0.9,1.0,1910.8337724711569,5106.399455325999,0.6748,2953.6443949557283,0.6736694763998876,1936.8916563799808,4801.996742251442,0.66,2990.615935193882,0.6322214204253538
XGB_depth_2_lr_0.001_estimators_50_childweight_1_subsample_0.9_seed_1,2.0,0.001,50.0,1.0,0.9,1.0,1910.8337724711569,5106.399455325999,0.6748,2953.6443949557283,0.6736694763998876,1936.8916563799808,4801.996742251442,0.66,2990.615935193882,0.6322214204253538
XGB_depth_3_lr_0.001_estimators_50_childweight_2_subsample_0.6_seed_1,3.0,0.001,50.0,2.0,0.6,1.0,1910.8337724711569,5106.399455325999,0.6767,2955.9252750201235,0.672955712299643,1936.8916563799808,4801.996742251442,0.6618,2997.8240554139275,0.6297055894160164
XGB_depth_2_lr_0.001_estimators_100_childweight_2_subsample_0.6_seed_1,2.0,0.001,100.0,2.0,0.6,1.0,1910.8337724711569,5106.399455325999,0.6751,2956.0017011000805,0.672931796008275,1936.8916563799808,4801.996742251442,0.6607,2991.0521957600968,0.632069153561438
